Locationabbr,Diabetes,Heart attack,Less than H.S,,College+,HC01_EST_VC06(0.648),HC04_EST_VC01,HC03_EST_VC01,HC01_EST_VC13
AL,12.9,5.9,17.4,,20.4,"Total; Estimate; $10,000 to $14,999",Unemployment rate; Estimate; Population 16 years and over,Employed; Estimate; Population 16 years and over,"Total; Estimate; Full-time, year-round workers with earnings - $100,000 or more"
AK,7.4,3.3,9.7,,24.1,4.8,8.6,52.5,8.7
AZ,10.1,4.4,15.4,0.78812559,23.9,2.2,7.6,61.9,13.5
AR,12.8,6.7,16.8,,18.2,4.6,7.9,54.2,10.6
CA,10.3,3.5,19.1,,27.3,5.8,6.8,54.2,6.8
CO,7.3,3.1,10.8,0.808143669,33.4,4.2,8.5,57.4,17.2
CT,9.2,3.7,11.6,,32.9,3.4,5.5,63.7,13.7
DE,11.1,5,13.4,,26.1,1.8,7.9,61.6,20.4
DC,8.4,2.6,12,,49.1,3.2,6.7,58.5,12
FL,11.2,5.3,14.6,,24.1,1.8,8.9,62.3,28.2
GA,11.6,4.5,16.4,,24.7,5,8,53.6,9.3
HI,9.8,3.1,9.7,,27.3,4.7,8.3,56.7,11.1
ID,7.6,3.7,11.9,,22.4,2.7,5.4,58.1,9.5
IL,10.1,3.7,13.4,0.648411442,28.4,4.8,5.5,58.1,8.5
IN,10.7,5,14,,20.8,3,8.1,60,13.8
IA,9.5,4.4,9.6,,23.4,3.7,7.1,59.5,8.3
KS,10.3,4.2,11.1,0.617986202,27,3.4,4.4,64.7,7.9
KY,12.5,6.8,17.3,,19.3,3.6,5.2,61.9,9.7
LA,11.3,5.2,18,-0.813892082,19.8,4.6,7.6,54.4,7.5
ME,9.5,5.5,9.4,,25.6,5.8,7.5,55.2,9.8
MD,10.1,3.2,11.9,,33.3,2.9,5.9,59.3,7.6
MA,9.7,4.1,11.2,,35.5,2.5,7.2,62.7,19.1
MI,10.4,5.2,11.6,,23.4,1.9,6.7,62.9,19.9
MN,8.1,3.8,9,,29.6,3.8,8.3,55.9,11.1
MS,13,4.9,19.1,,18.1,2.5,4.7,66.3,13.1
MO,11.1,5.4,12.9,,23.8,5.7,9.8,51.7,6.6
MT,8.8,4.2,8.9,,26.2,4.2,6.8,58.1,8.8
NE,9.2,3.8,10.5,,25.8,4.8,4.9,60.1,7.5
NV,9.6,4.8,16.7,,19.9,3.8,4.2,67.1,8.1
NH,9.2,3.8,8.8,,31,3.6,8.9,57.7,8.5
NJ,9.7,4.2,12.5,,32.5,2,5.1,64.4,15
NM,11.5,4.2,17.4,,22.8,2.9,7.5,61,20.7
NY,10,3.8,15.2,,30.4,5.2,8.7,53.4,8.3
NC,10.8,5.1,15.7,,24.3,3.4,7.3,58.5,16.2
ND,8.6,4.6,9.3,,25,4.5,8.3,56.3,9.7
OH,11.7,5.4,12.2,,22.8,3,3,66.5,10.8
OK,12,5.5,14.7,,21,3.6,7.2,58.7,9.4
OR,9,4.6,11.5,,26.8,5,5.7,57.3,8.1
PA,11.2,4.8,11.9,,25.1,3.5,7.8,56.6,11.2
RI,9.5,4.3,15.1,,27.9,2.9,7,58.1,11.4
SC,12,4.6,16.2,,22.5,2.9,7.8,59.7,13.3
SD,9.1,5.1,10.8,,23.8,5,8.1,54.9,7.7
TN,13,5.7,16,,21.5,4.1,3.9,66.5,6.4
TX,11,3.7,19.4,,23.5,4.5,7.8,55.7,8.4
UT,7.1,2.9,10,,25.8,5.3,6.1,60.2,12.4
VT,7.9,3.8,8.7,,31.5,3.8,5,64,10.9
VA,9.7,4.2,12.9,,31.7,2.6,5.5,62.5,8.4
WA,8.9,3.8,11,,28.7,3.2,6.1,60.6,17.7
WV,14.1,7.4,16.6,,16.6,2.5,6.5,59.1,15.9
WI,9,3.7,10.3,,24.3,4.2,6.9,49.5,7.2
WY,8.4,4.6,8.7,,22.8,3.1,5.3,63.3,8.7
PR,15.7,5.3,27.3,,29.4,4,4.3,64.8,8.9
,,,,,,15.5,18.5,36.3,3.1